artist,genre,occurrences,track_name
Yann Tiersen,World,15797,La Dispute
Mariza,World,4740,Maria Lisboa
Tinariwen,World,3244,Tamatant Tilay
Balkan Beat Box,World,3120,Sunday Arak
Cesária Évora,World,2157,Tchintchirote
Kings of Leon,Rock,570134,Trunk
Coldplay,Rock,170525,Daylight
Modest Mouse,Rock,166119,Head South
Metric,Rock,157329,Breathing Underwater
Radiohead,Rock,152411,Feral
Korn,RnB,37341,Word Up!
Alicia Keys,RnB,27437,Wait Til You See My Smile
Amy Winehouse,RnB,17722,Fuck Me Pumps
Sade,RnB,17137,Somebody Already Broke My Heart
John Legend,RnB,10461,Let's Get Lifted Again
Fat Freddy's Drop,Reggae,11615,Boondigga
Damian Marley,Reggae,11335,Mi Blenda
Ska-P,Reggae,10449,Naval Xixon
Bedouin Soundclash,Reggae,8330,Gyasi Went Home
Slightly Stoopid,Reggae,8029,Mellow Mood
Kid Cudi,Rap,120653,Alive (nightmare)
Eminem,Rap,106276,Like Toy Soldiers
Black Eyed Peas,Rap,70667,Ba Bump
Ice Cube,Rap,52472,It Was A Good Day
Dr. Dre,Rap,38869,Bitch Niggaz
Dropkick Murphys,Punk,20133,Going Strong
Descendents,Punk,19711,Christmas Vacation
The Clash,Punk,15741,The Street Parade
NOFX,Punk,15677,Cool And Unusual Punishment
Dead Kennedys,Punk,14652,Moon Over Marin
Justin Bieber,Pop,184234,Bigger
Lady Gaga,Pop,153527,Disco Heaven
The Barden Bellas,Pop,78443,Party In The U.S.A.
Third Eye Blind,Pop,54149,Never Let You Go
Shakira,Pop,48095,Dreams for Plans
Enya,New Age,97682,We Wish You a Merry Christmas
Enigma,New Age,23694,Odyssey of the Mind
Era,New Age,14474,Don't You Forget
Penguin Cafe Orchestra,New Age,5977,Pythagoras's Trousers
Eluveitie,New Age,5062,Epona
Metallica,Metal,89118,The Memory Remains
Bullet for My Valentine,Metal,40132,Her Voice Resides
In Flames,Metal,34530,Bullet Ride
Nightwish,Metal,32694,Stone People
Apocalyptica,Metal,28166,Path
Los Fabulosos Cadillacs,Latin,18179,Los Condenaditos
Juanes,Latin,13063,Tu Guardian
Orishas,Latin,8864,Emigrantes
Manu Chao,Latin,5861,Eldorado 1997
Shakira,Latin,3277,La Tortura
Melody Gardot,Jazz,26308,Deep Within The Corners Of My Mind
Bohren & der Club of Gore,Jazz,24845,Cairo Keller
Jamie Cullum,Jazz,16863,Well You Needn't
Madeleine Peyroux,Jazz,9115,Somethin' Grand
Koop,Jazz,9057,Once Britten
Bon Iver,Folk,67613,The Wolves (Act I and II)
Beirut,Folk,45357,The Shrew
Devendra Banhart,Folk,28648,Tit Smoking in the Temple of Artesan Mimicry
Chevelle,Folk,27460,MIA
Ray LaMontagne,Folk,19399,Barfly
Daft Punk,Electronic,105469,Digital Love
The Prodigy,Electronic,66838,Thunder (Bang Gang Remix)
LCD Soundsystem,Electronic,64208,Yeah (Pretentious Mix)
Justice,Electronic,56003,Waters of Nazareth
Röyksopp,Electronic,53228,Circuit Breaker
Taylor Swift,Country,63830,A Perfectly Good Heart
Toby Keith,Country,54333,You Shouldn't Kiss Me Like This
Luke Bryan,Country,48717,Tackle Box
Billy Currington,Country,43072,Must Be Doin' Somethin' Right
Eric Church,Country,33825,What I Almost Was
B.B. King,Blues,8979,It's My Own Fault
Rory Gallagher,Blues,4111,Tattoo'd Lady
The Yardbirds,Blues,3728,I'm A Man
Depeche Mode,Blues,3019,Lie To Me
T-Bone Walker,Blues,2937,Mean Old World
